name,objective,office,place_t,place_e,place,post_num
บจ.มนต์มนัส 1999 จำกัด,ให้บริการรถรับส่งพนักงานให้แก่บริษัทต่างๆ,13/5  หมู่ที่ 4,ต.บางพระครู,อ.นครหลวง,จ.พระนครศรีอยุธยา,13260
บจ.โชติอุดม เอ็นจิเนียริ่ง จำกัด,ประกอบกิจการผลิต ประกอบ ติดตั้ง บำรุงรักษา และซ่อมแซม เครื่องจักรกล ชิ้นส่วนทางวิศวกรรม เครื่องมือกล และอุปกรณ์ ที่ใช้ในงานอุตสาหกรรมทุกประเภท,47  หมู่ที่ 4,ต.สิงหนาท,อ.ลาดบัวหลวง,จ.พระนครศรีอยุธยา,13230
บจ.ยูฟ่ง ไท่ จำกัด,บริการตัดผม ดัดผม ทำสีผม,8  หมู่ที่ 3,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.บ็อกกู๊ด มอลล์ จำกัด,บริการไลฟ์สดขายของออนไลน์ ทั้งนี้ ไม่ใช่ธุรกิจขายตรงหรือตลาดแบบตรง,25/49  หมู่ที่ 3,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.บัวลินทร์ จำกัด,ประกอบกิจการโรงแรม สลีปบ็อก (Sleep Box) เกสต์เฮ้าส์ รีสอร์ท โฮสเทล ห้องพักรายวัน รายสัปดาห์ หรือรายเดือน รวมถึงที่พักรูปแบบอื่น ๆ สำหรับนักท่องเที่ยวและบุคคลทั่วไป,251  หมู่ที่ 4,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.ทีทีเอ็มเอฟ จำกัด,ประกอบกิจการ จำหน่ายผลิตภัณฑ์เสริมอาหาร กาแฟ ไฟเบอร์ เครื่องสำอาง ทุกชนิด ทางออนไลน์ ทั้งนี้ ไม่ใช่ธุรกิจขายตรงหรือตลาดแบบตรง,117/45  หมู่บ้าน แสนภูมิ หมู่ที่ 11,ต.บ้านเลน,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.คาวาอิวินเทจว็อช จำกัด,การขายส่งนาฬิกาและเครื่องประดับ,98/1-2-3  หมู่ที่ 7,ต.เชียงรากน้อย,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.เค ที ดีวีลอปเม้นท์ แอนด์ ซัพพลาย จำกัด,ประกอบกิจการจัดหา ซื้อมา นำเข้า ส่งออก และจำหน่ายอะไหล่ ชิ้นส่วนอุปกรณ์อุตสาหกรรม วัสดุสิ้นเปลือง และเครื่องจักรที่ใช้ในกระบวนการผลิตทั้งภายในและต่างประเทศ ซึ่งชิ้นส่วน อะไหล่ วัสดุอุปกรณ์ และเครื่องมือเครื่องใช้สำหรับ งานอุตสาหกรรมทุกประเภท,139/450  หมู่ที่ 4,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.บ้านกรองน้ำ จำกัด,ผลิต รับจ้างผลิตและจำหน่ายเครื่องกรองน้ำและไส้กรองทุกชนิดทั้งภายใน และต่างประเทศ,26/59  หมู่ที่ 4 ถนนสามโคก-เสนา,ต.โคกช้าง,อ.บางไทร,จ.พระนครศรีอยุธยา,13190
บจ.ส ศิริ วิศวกรรม  จำกัด,ประกอบกิจการออกแบบ ให้คำปรึกษา ตรวจสอบ ติดตั้ง สร้าง รับเหมาก่อสร้าง ปรับปรุง ซ่อมบำรุง ซ่อมแซม บำรุงรักษา เสริมความมั่นคงทางรถไฟ ระบบสื่อสารและอาณัติสัญญาณ งานสถาปัตยกรรม ระบบสาธารณูปโภค ระบบไฟฟ้าและเครื่องกล งานโยธา ถนน สะพาน ทางลอด อุโมงค์ ท่าเรื่อ อาคาร โรงงาน และงานก่อสร้างอย่างอื่นๆทุกชนิด,63/21  หมู่ที่ 4,ต.ตลิ่งชัน,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.วี เวฟ ไลเตอร์ มารีน จำกัด,ขนส่งสินค้าทางน้ำ,88/95  หมู่ที่ 3,ต.ช้างใหญ่,อ.บางไทร,จ.พระนครศรีอยุธยา,13290
บจ.ที ดับเบิ้ลยู เอ็น ช็อป จำกัด,การขายปลีกชิ้นส่วนและอุปกรณ์เสริมใหม่ของยานยนต์,58/3  หมู่ที่ 5,ต.ลำไทร,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
บจ.ไท่หงส์ อินเทลลิเจ้นท เทคโนโลยี จำกัด,ประกอบกิจการค้า ยางเทียม สิ่งทำเทียม วัตถุหรือสินค้าดังกล่าวโดยกรรมวิธีทางวิทยาศาสตร์,66/5  หมู่ที่ 1,ต.บ้านเลน,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.เจ เจริญ จำกัด,ประกอบกิจการค้า เครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,39  หมู่ที่ 2,ต.ตาลาน,อ.ผักไห่,จ.พระนครศรีอยุธยา,13120
บจ.ไพรม์ นัมเบอร์ ฟู้ด จำกัด,ให้บริการสำหรับดูแลสินค้าที่ผ่านกระบวนการนำเข้าและส่งออก,592  หมู่ที่ 2,ต.คลองจิก,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.พนาธิปคอมเมิร์ซ จำกัด,ประกอบกิจการจำหน่ายสินค้าอุปโภคและบริโภค เครื่องใช้สำนักงาน โต๊ะทำงาน เก้าอี้ทำงาน แฟ้มใส่เอกสาร อุปกรณ์ที่ใช้ในครัว เช่น หม้อ กระทะ ถ้วยชาม ช้อนส้อมแบบต่าง ๆ ทั้งในประเทศและต่างประเทศ ผ่านช่องทางหน้าร้านและออนไลน์ ทั้งนี้ ไม่ใช่การประกอบธุรกิจขายตรงหรือตลาดแบบตรง ตามพระราชบัญญัติขายตรงและตลาดแบบตรง พ.ศ. 2545,8  หมู่ที่ 3,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.วรัญเทรด จำกัด,ประกอบกิจการจำหน่ายสินค้าอุปโภคและบริโภค เครื่องใช้สำนักงาน โต๊ะทำงาน เก้าอี้ทำงาน แฟ้มใส่เอกสาร อุปกรณ์ที่ใช้ในครัว เช่น หม้อ กระทะ ถ้วยชาม ช้อนส้อมแบบต่าง ๆ ทั้งในประเทศและต่างประเทศ ผ่านช่องทางหน้าร้านและออนไลน์ ทั้งนี้ ไม่ใช่การประกอบธุรกิจขายตรงหรือตลาดแบบตรง ตามพระราชบัญญัติขายตรงและตลาดแบบตรง พ.ศ. 2545,25/54  หมู่ที่ 3,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.โนเบิล ริช โฮลดิ้ง จำกัด,ซื้อขายปลีกโทรศัพท์เคลื่อนที่ อุปกรณ์ที่เกี่ยวข้องกับโทรศัพท์เคลื่อนที่ หรือใช้งานทุกชนิด รับซื้อรับจำนำและรับซ่อม บริการหลังการขาย,99/228  หมู่ที่ 1,ต.สามเรือน,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.แม็กซ์ เคมีภัณฑ์ แอนด์ ทเวนตี้ จำกัด,ประกอบกิจการผลิต และจำหน่าย ปลีก ส่ง  ผลิตภัณฑ์เพื่อใช้ทำความสะอาด เวชสำอางค์  วัสดุสำนักงาน  สินค้าเบ็ดเตล็ดโดยใช้วัตถุเคมี และวัสดุอุปกรณ์อื่น ที่เกี่ยวข้องต่อเนื่อง และบรรจุผลิตภัณฑ์หรือแบ่งบรรจุผลิตภัณฑ์ที่เกี่ยวข้องด้งกล่าว   และให้บริการหรือรับจ้างผลิตเกี่ยวกับผลิตภัณฑ์ดังกล่าว,110  หมู่ที่ 5,ต.เชียงรากน้อย,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.ออร่า ออแกไนซ์เซอร์ จำกัด,ประกอบกิจการเช่าพื้นที่จำหน่ายสินค้า ร้านค้า จัดโซนขาย บริหารพื้นที่ตลาด,200/297  หมู่ที่ 4,ต.ลำตาเสา,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
บจ.มาหะศักดิ์ ลอว์เฟิร์ม แอนด์ บิสซิเนส จำกัด,ประกอบกิจการบริการทางด้านกฎหมาย  ทางบัญชี  ทางวิศวกรรม  ทางสถาปัตยกรรม  รวมทั้งกิจการโฆษณา,1/147  ถนนคลองมะขามเรียง,ต.หอรัตนไชย,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.ซินเจน จำกัด,ให้บริการห้องปฏิบัติการทางชีววิทยา พันธุศาสตร์ และจุลชีววิทยา รวมถึงการวิเคราะห์ลำดับพันธุกรรม การวิเคราะห์ข้อมูลชีวสารสนเทศ การทดสอบและวิเคราะห์ตัวอย่างทางชีววิทยาทุกประเภท ให้บริการในการควบคุมคุณภาพและ รับรองมาตรฐานสำหรับตัวอย่างทางชีววิทยา ตลอดจนการตรวจสอบ ทดลองประสิทธิภาพ วิเคราะห์และพัฒนาคุณภาพของอาหาร ยา และผลิตภัณฑ์ทุกประเภท,355/4,ต.ภาชี,อ.ภาชี,จ.พระนครศรีอยุธยา,13140
บจ.อัพทูมี 2569 จำกัด,ประกอบกิจการขายเสื้อผ้าผ่านช่องทางออนไลน์ ทั้งนี้โดยมิใช่การขายตรงและการตลาดแบบตรง,222/35  หมู่ที่ 3,ต.คลองสวนพลู,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.เฟอร์66 จำกัด,ประกอบกิจการขายเฟอร์นิเจอร์ ของใช้ในครัวเรือน มือสอง,222/35  หมู่ที่ 3,ต.คลองสวนพลู,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.กรรณิการ์ ฟรุ๊ต 2569 จำกัด,ประกอบกิจการขายผัก ผลไม้ทุกชนิดปลีก-ส่ง,222/35  หมู่ที่ 3,ต.คลองสวนพลู,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.อารยะนันท์เทรดดิ้ง จำกัด,ประกอบกิจการจำหน่ายสินค้าอุปโภคและบริโภค เครื่องใช้สำนักงาน โต๊ะทำงาน เก้าอี้ทำงาน แฟ้มใส่เอกสาร อุปกรณ์ที่ใช้ในครัว เช่น หม้อ กระทะ ถ้วยชาม ช้อนส้อมแบบต่าง ๆ ทั้งในประเทศและต่างประเทศ ผ่านช่องทางหน้าร้านและออนไลน์ ทั้งนี้ ไม่ใช่การประกอบธุรกิจขายตรงหรือตลาดแบบตรง ตามพระราชบัญญัติขายตรงและตลาดแบบตรง พ.ศ. 2545,25/49  หมู่ที่ 3,ต.พยอม,อ.วังน้อย,จ.พระนครศรีอยุธยา,13180
บจ.คิวบ์ บอย ไลฟ์สไตล์ 24 จำกัด,ประกอบกิจการค้าโดยวิธีพาณิชย์อิเล็กทรอนิกส์  ผ่านแพลตฟอร์มออนไลน์ทุกชนิด ทั้งนี้ ไม่ใช่ธุรกิจขายตรงหรือตลาดแบบตรง,35/1  หมู่ที่ 4,ต.สวนพริก,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.พีแซต สโตร์ จำกัด,ประกอบกิจการขายเสื้อผ้าออนไลน์ ทั้งนี้มิใช่การขายตรงและตลาดแบบตรง,222/35  หมู่ที่ 3,ต.คลองสวนพลู,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.บีเคเค ดีไซน์ จำกัด,ประกอบกิจการให้บริการออกแบบสถาปัตยกรรม ออกแบบตกแต่งภายในและภายนอกอาคาร งานผนัง พื้น ฝ้าเพดาน ให้คำปรึกษาและวางโครงการก่อสร้าง รวมถึงงานระบบวิศวกรรมต่างๆ ได้แก่ ระบบไฟฟ้า ระบบประปา ระบบสุขาภิบาล และระบบปรับอากาศ,156/2  หมู่ที่ 1,ต.หัวรอ,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.พรพูนสิน มั่งมี จำกัด,ประกอบธุรกิจรับเป็นผู้บริหารงานเกี่ยวกับด้านพาณิชยกรรม อุตสาหกรรม การตลาด และการจัดจำหน่าย เป็นต้น,202/94  หมู่ที่ 5,ต.ลำไทร,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
บจ.ซินไห่ คอนสตรัคชั่น (ไทยแลนด์) จำกัด,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารพักอาศัย ทาวน์เฮ้าส์ ทาวน์โฮม คอนโดมิเนียม,99/8   ห้องเลขที่ A4 หมู่ที่ 9,ต.คานหาม,อ.อุทัย,จ.พระนครศรีอยุธยา,13210
บจ.เอ.พี.เอช. รีไซเคิล เทรดดิ้ง จำกัด,ประกอบกิจการรับซื้อ จำหน่าย และคัดแยกวัสดุที่ใช้แล้วทุกชนิด (รีไซเคิล) และการค้าของเก่า,20/5  หมู่ที่ 4,ต.บางนางร้า,อ.บางปะหัน,จ.พระนครศรีอยุธยา,13220
บจ.ซี.พี.เจ อินเตอร์เทค จำกัด,ประกอบกิจการบริการติดตั้ง ซ่อมแซม บำรุงรักษาและตรวจสอบเครื่องจักร เครื่องยนต์ เครื่องมือกล เครื่องทุ่นแรง เครื่องมือ อิเล็คทรอนิกส์ สำหรับโรงงาน และสถานที่ทำการทั่วไป รวมทั้งอุปกรณ์และอะไหล่ของสินค้าดังกล่าว,329/70  หมู่ที่ 2,ต.สามเรือน,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.ดีเค.พาณิชย์ แอนด์ สแครป จำกัด,ประกอบกิจการโรงงานผลิตเหล็ก โรงงานรีดและหล่อหลอมโลหะ โรงงานสังกะสี โรงงานประกอบรถยนต์ โรงงานต่อตัวถังรถยนต์,109/63  หมู่ที่ 1,ต.วังน้อย,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
บจ.เจเอ็น ริช โลจิสติกส์  จำกัด,ประกอบกิจการขนส่งและขนถ่ายสินค้า  และคนโดยสารทั้งทางบก  ทางน้ำ  ทางอากาศ  ทั้งภายในประเทศและระหว่างประเทศ รวมทั้งรับบริการนำของออกจากท่าเรือตามพิธีศุลกากรและการจัดระวางการขนส่งทุกชนิด,55/1  หมู่ที่ 4,ต.โพธิ์เอน,อ.ท่าเรือ,จ.พระนครศรีอยุธยา,13130
บจ.ก้าวหน้าไพศาล จำกัด,ประกอบกิจการค้า ทอง นาก เงิน เพชร พลอย และอัญมณีอื่น รวมทั้งวัตถุทำเทียมสิ่งดังกล่าว,40/84  หมู่ที่ 3,ต.สามเมือง,อ.ลาดบัวหลวง,จ.พระนครศรีอยุธยา,13230
บจ. เป็นหนึ่ง ไบโอแมส จำกัด,รับซื้อ-ขายเศษไม้,93/10  หมู่ที่ 5,ต.สามตุ่ม,อ.เสนา,จ.พระนครศรีอยุธยา,13110
บจ.คุ้มคลองท่อคาเฟ่ แอนด์ เรสเตอรองต์ จำกัด,ประกอบกิจการโรงแรม  ภัตตาคาร  บาร์  ไนท์คลับ,77/12  หมู่ที่ 4,ต.ประตูชัย,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.เอเนอแลนด์ จำกัด,ประกอบกิจการนำเข้าส่งออก ผลิต และจำหน่ายแก๊สอุตสาหกรรม แก๊สทางการแพทย์ แก๊สชนิดพิเศษ และแก๊สสารกึ่งตัวนำ,88/166  หมู่ที่ 3,ต.บ้านกรด,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.เอ็ม พี 9 จำกัด,ประกอบกิจการค้าเครื่องดื่ม อาหาร อาหารเสริมเพื่อสุขภาพ ผลิตภัณฑ์จากธัญพืช สมุนไพร ชา กาแฟ โกโก้ ช็อคโกแลต เครื่องสำอางค์ รวมทั้งสินค้าอุปโภคบริโภคอื่นๆ ทุกชนิด,605/75  หมู่ที่ 7,ต.เชียงรากน้อย,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.ฟาร์ม่า เฮลท์ โซลูชั่นส์ จำกัด,ประกอบกิจการซื้อ ขาย ค้าปลีก ค้าส่ง นำเข้า ส่งออก อาหารสุขภาพ อาหารเสริม วิตามิน และสินค้าเพื่อสุขภาพทุกชนิด,29/57  หมู่บ้าน กรูฟวิลล์ 3 หมู่ที่ 3,ต.ธนู,อ.อุทัย,จ.พระนครศรีอยุธยา,13000
บจ.เทียนหยวน อินดัสเทรียล กรุ๊ป (ประเทศไทย)  จำกัด,ประกอบกิจการค้า กระดาษ เครื่องเขียน แบบเรียน แบบพิมพ์ หนังสือ อุปกรณ์การเรียนการสอน อุปกรณ์การถ่ายภาพและ ภาพยนตร์ เครื่องคำนวณ เครื่องพิมพ์ อุปกรณ์การพิมพ์ สิ่งพิมพ์ หนังสือพิมพ์ ตู้เก็บเอกสาร เครื่องใช้สำนักงาน เครื่องมือสื่อสาร คอมพิวเตอร์รวมทั้งอุปกรณ์และอะไหล่ของสินค้าดังกล่าว,19/23-24  หมู่ที่ 4,ต.คานหาม,อ.อุทัย,จ.พระนครศรีอยุธยา,13210
บจ.ริชเชอร์ เวลธ์ จำกัด,ประกอบกิจการค้า เครื่องเคหภัณฑ์ เครื่องเรือน เฟอร์นิเจอร์ เครื่องแก้ว เครื่องครัว ตู้เย็น เครื่องปรับอากาศ เครื่องฟอกอากาศ พัดลม เครื่องดูดอากาศ หม้อหุงข้าวไฟฟ้า เตารีดไฟฟ้า เครื่องทำความร้อน เครื่องทำความเย็น เตาอบไมโครเวฟ เครื่องใช้ไฟฟ้า อุปกรณ์ไฟฟ้า รวมทั้งอะไหล่และอุปกรณ์ของสินค้าดังกล่าว,125  หมู่ที่ 7,ต.สามเมือง,อ.ลาดบัวหลวง,จ.พระนครศรีอยุธยา,13230
บจ.บีบีวี ซิสเท็มส์ โฮลดิ้ง (ประเทศไทย) จำกัด,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,111/34-36  อาคารโครงการฟาสท์แฟค หมู่ที่ 2 ถนนพหลโยธิน,ต.ลำไทร,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
บจ.เดอะทูธแกลเลอรี่ จำกัด,ประกอบกิจการให้บริการคลินิกทันตกรรม และบริการอื่นๆที่เกี่ยวข้อง,158/13  หมู่ที่ 3,ต.คลองสวนพลู,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.มินพิน พรีเมียม เซอร์วิส  จำกัด,ประกอบกิจการให้บริการเป็นตัวแทน นายหน้า หรือผู้รับมอบอำนาจในการดำเนินการด้านทะเบียนยานพาหนะทุกประเภท แทนบุคคลธรรมดาและนิติบุคคล,156/1  หมู่ที่ 1,ต.หัวรอ,อ.พระนครศรีอยุธยา,จ.พระนครศรีอยุธยา,13000
บจ.พณิชธนไพศาล วอเตอร์ซิสเต็ม  จำกัด,ประกอบกิจการให้บริการติดตั้งซ่อมแซมบำรุงรักษาตรวจสอบเครื่องจักรเครื่องมืออุปกรณ์ทุกชนิด,8/88  หมู่ที่ 4,ต.ลำไทร,อ.วังน้อย,จ.พระนครศรีอยุธยา,13170
บจ.บี.พี.อีควิปเม้นท์ ซัพพลาย จำกัด,ขายวัสดุสิ้นเปลืองในโรงงาน,95  หมู่ที่ 1,ต.คุ้งลาน,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.พีทีพี พาร์ท เอ็นจิเนียริ่ง จำกัด,ประกอบกิจการค้าอุปกรณ์สำหรับงานอุตสาหกรรม เช่น สำหรับอุตสาหกรรมน้ำมันและก๊าซธรรมชาติ การขุดเจาะบ่อน้ำมัน โรงกลั่นน้ำมัน อุตสาหกรรมปิโตรเคมี ,97  หมู่ที่ 3,ต.ปากท่า,อ.ท่าเรือ,จ.พระนครศรีอยุธยา,13130
บจ.อุน-เจริญ มั่งมี จำกัด,ทำการซื้อ ผลิต รับจ้างผลิต นำเข้า ส่งออก จำหน่าย และเป็นตัวแทนจำหน่ายยา ยาผสมยาสำเร็จรูป เวชภัณฑ์ที่เป็นยา เวชภัณฑ์ที่ไม่ใช่ยา ยารักษาและป้องกันโรคสำหรับคนและสัตว์ เครื่องมือเครื่องใช้ อุปกรณ์ทางการแพทย์ทุกชนิด วัตถุเคมี และสินค้าอุปโภคบริโภคทุกชนิด ไม่จำกัด ชนิดหรือประเภท ทั้งปลีกและส่ง ทั้งในและนอกราชอาณาจักร,88/73  หมู่ที่ 2,ต.บ้านกรด,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.ชีวาดีไตเทียม จำกัด,ประกอบกิจการให้บริการฟอกไต และจำหน่ายปลีก วัสดุอุปกรณ์ที่เกี่ยวข้อง,88/196  หมู่ที่ 2,ต.บ้านกรด,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.วี.เค. ออดิท แท็กซ์ แอนด์ ลอว์  จำกัด,ประกอบกิจการบริการทางด้านกฎหมาย  ทางบัญชี  ทางวิศวกรรม  ทางสถาปัตยกรรม  รวมทั้งกิจการโฆษณา,66/47  หมู่ที่ 6,ต.บ้านกรด,อ.บางปะอิน,จ.พระนครศรีอยุธยา,13160
บจ.ไอเท็ม เอ็นจิเนียริ่ง โฮม จำกัด,ประกอบกิจการรับเหมาก่อสร้างอาคาร  อาคารพาณิชย์  อาคารที่พักอาศัย  สถานที่ทำการ  ถนน  สะพาน  เขื่อน  อุโมงค์ และงานก่อสร้างอย่างอื่นทุกชนิด  รวมทั้งรับทำงานโยธาทุกประเภท,25/1  หมู่ที่ 5,ต.สามง่าม,อ.โพธิ์ทอง,จ.อ่างทอง,14120
บจ.ยาเบซแลบ จำกัด,ประกอบกิจการวิจัย พัฒนา ผลิต และจัดจำหน่าย ผลิตภัณฑ์ยา เภสัชภัณฑ์ เวชภัณฑ์ เคมีภัณฑ์ วัสดุและเครื่องมือทางการแพทย์ อาหารเสริม และเครื่องสำอาง รวมทั้งให้บริการรับจ้าง วิจัย พัฒนา ซอฟต์แวร์ แพลตฟอร์มดิจิทัล แอปพลิเคชัน ปัญญาประดิษฐ์ วิเคราะห์ข้อมูลขนาดใหญ่ และนวัตกรรมเทคโนโลยีขั้นสูง ตลอดจนการนำเข้า ส่งออก และการจัดจำหน่ายผลิตภัณฑ์ดังกล่าวผ่านช่องทางปกติ และระบบเครือข่ายอินเทอร์เน็ต ทั้งยังประกอบกิจการให้คำปรึกษา และการบริหารจัดการให้สิทธิ (Licensing) ในทรัพย์สินทางปัญญาที่เกี่ยวข้อง,75  หมู่ที่ 2,ต.มหาดไทย,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.เรืองชัยชนะ จำกัด,ประกอบกิจการเป็นผู้บริหารงานด้านพาณิชยกรรม อุตสาหกรรม การตลาด และการจัดจำหน่าย,88/88  หมู่ที่ 2,ต.ป่างิ้ว,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.ตุ๊กตาชาววัง จำกัด,ประกอบกิจการค้า กาแฟผง กาแฟพร้อมดื่ม ชา โกโก้ น้ำผลไม้ น้ำดื่มบรรจุขวด เค้ก ขนมหวาน ขนมขบเคี้ยว ถั่วอบ,88/88  หมู่ที่ 2,ต.ป่างิ้ว,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.ไอเดียเบสท์ โซลูชั่น จำกัด,ประกอบกิจการผลิต ติดตั้ง จำหน่าย นำเข้า ส่งออก และเป็นตัวแทนจำหน่ายสินค้านวัตกรรม ผลิตภัณฑ์ด้านพลังงาน แบตเตอรี่ ระบบโซล่าเซลล์ แอร์โซล่าเซลล์ รถยนต์ไฟฟ้า ยานพาหนะไฟฟ้า (EV) เครื่องจักร CNC เครื่องพิมพ์ 3 มิติ และผลิตภัณฑ์อื่นๆ ตามคำสั่งของลูกค้าทั้งค้าปลีกและค้าส่ง,51  หมู่ที่ 3,ต.บ้านแห,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.ขวัญใจ ฟู้ดส์ จำกัด,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,1/37  ถนนอยุธยา-อ่างทอง,ต.โพสะ,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.สุริยะมงคล ออยล์ จำกัด,ประกอบกิจการค้า น้ำมันเชื้อเพลิง ถ่านหิน ผลิตภัณฑ์อย่างอื่นที่ก่อให้เกิดพลังงาน และสถานีบริการน้ำมันเชื้อเพลิง,88/88  หมู่ที่ 2,ต.ป่างิ้ว,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.เจที โลจิกซ์ จำกัด,ประกอบกิจการให้บริการรับจัดหาและรับสั่งซื้อสินค้าในประเทศและต่างประเทศ โดยเฉพาะจากประเทศญี่ปุ่น ตามคำสั่งของลูกค้า,51  หมู่ที่ 2,ต.จำปาหล่อ,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.ดราก้อนส์ ดรีม จำกัด,ประกอบกิจการจำหน่ายสินค้า เสื้อผ้า หมวก กระเป๋าสะพาย กระเป๋าเดินทาง รองเท้า กระดาษทิชชู่  สินค้าแฟชั่น สินค้ากิ๊ฟช็อป บนแพลตฟอร์ม ติ๊กต๊อก(TikTok) ช็อปปี้(Shopee) ลาซาด้า (Lazada) และแบบฟอร์มออนไลน์อื่นๆ,49/23  ถนนอ่างทอง-สิงห์บุรี,ต.ย่านซื่อ,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.โดโซะ พี อาร์ จำกัด,ประกอบกิจการค้า และเป็นตัวแทนจำหน่ายสินค้าอุปโภค บริโภค และผลิตภัณฑ์ทั่วไป ทั้งในและต่างประเทศ,147  หมู่ที่ 5,ต.บางพลับ,อ.โพธิ์ทอง,จ.อ่างทอง,14120
บจ.ภูริช ฟิชสโตร์ จำกัด,ประกอบกิจการค้าสัตว์มีชีวิต เนื้อสัตว์ชำแหละ เนื้อสัตว์แช่แข็ง และเนื้อสัตว์บรรจุกระป๋อง,74/44  หมู่บ้าน เปี่ยมสุข12 หมู่ที่ 112,ต.ป่างิ้ว,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.บ้านอะไหล่มอเตอร์ไซค์ จำกัด,ประกอบกิจการค้า อะไหล่รถจักรยาน รถจักรยานยนต์ รถยนต์ ทุกประเภท,1/5  ถนนเทศบาล 3,ต.บางแก้ว,อ.เมืองอ่างทอง,จ.อ่างทอง,14000
บจ.ลพบุรีหล่อยาง คาร์เซอร์วิส จำกัด,ประกอบกิจการค้า ยางรถยนต์ รวมทั้งอุปกรณ์ อะไหล่ ล้อแม็ก กระทะล้อ และสินค้าที่เกี่ยวข้อง กับยานพาหนะทุกชนิด,40/1  ถนนนารายณ์มหาราช,ต.ทะเลชุบศร,อ.เมืองลพบุรี,จ.ลพบุรี,15000
บจ.ปูโก๊ะ อินเตอร์ จำกัด,ประกอบกิจการค้า ผัก ผลไม้ หน่อไม้ พริกไทย พืชสวน บุหรี่ ยาเส้น เครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ สุรา เบียร์ อาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง เครื่องกระป๋อง เครื่องปรุงรสอาหาร น้ำซอส น้ำตาล น้ำมันพืช อาหารสัตว์ และเครื่องบริโภคอื่น,197  ถนนสุระนารายณ์,ต.โคกสำโรง,อ.โคกสำโรง,จ.ลพบุรี,15120
